id, city, state, donation, house_price, house_sold_at, years_sold, avg_city_income, file_id
167,  Palo Alto , 0,   50 , 1356993, 882000, 5, 90377, 2
168,  Palo Alto , 0,   50 , 1356993, 882000, 5, 90377, 2
169,  Westborough , 0,   92.5 , , , 0, , 2
170,  Cupertino , 0,   151 , , , 0, 100411, 2
171,  baytown , 0,   25.18 , , , 0, 44512.0130806292, 2
172,   , 0,   25.18 , , , 0, 44512.0130806292, 2
173,   Apt. 202 , 0,   12.09 , , , 0, , 2
174,  Palo Alto , 0,   500 , , , 0, , 2
175,  San Jose , 0,   25 , 972179, 882000, 1, , 2
176,  San Jose , 0,   5 , 972179, 882000, 1, 70243, 2
177,  Fremont , 0,   50 , , , 0, , 2
178,  Livermore , 0,   51.36 , , , 0, 75322, 2
179,  Fremont , 0,   300 , 2214719, 1500000, 0, 76579, 2
180,   , 0,   5000 , , , 0, 44512.0130806292, 2
181,   , 0,   1315.16 , , , 0, 44512.0130806292, 2
182,   , 0,   1686.78 , , , 0, , 2
183,   , 0,   400 , , , 0, 44512.0130806292, 2
184,  Rochester Hills , 0,   51.36 , , , 0, , 2
185,  Belmont , 0,   100 , , , 0, 80905, 2
186,  Sunnyvale , 0,   28 , 793202, 770500, 6, 74409, 2
187,  Vancouver , 0,   15 , , , 0, , 2
188,   , 0,   25 , , , 0, , 2
189,   , 0,   15 , , , 0, 44512.0130806292, 2
190,   , 0,   25 , , , 0, 44512.0130806292, 2
191,  Plano , 0,   107.46 , , , 0, , 2
192,  Lathrop , 0,   28 , , , 0, 55037, 2
193,  Bridgewater , 0,   15 , , , 0, 44512.0130806292, 2
194,  Fremont , 0,   51.36 , , , 0, , 2
195,  Andover , 0,   1000 , , , 0, , 2
196,  Fremont , 0,   28 , 449599, 315000, 3, , 2
197,  fremont , 0,   15 , 627785, 525000, 2, , 2
198,   Apt D , 0,   50 , , , 0, 44512.0130806292, 2
199,   , 0,   75 , , , 0, 44512.0130806292, 2
200,  Los Angeles , 0,   100 , , , 0, 36687, 2
201,   , 0,   25 , , , 0, 44512.0130806292, 2
202,  Westborough , 0,   25.18 , , , 0, , 2
203,  Medford , 0,   15 , , , 0, 44512.0130806292, 2
204,  Louisville , 0,   25.18 , , , 0, , 2
205,  Fremont , 0,   15 , 2004071, 691500, 16, 76579, 2
206,  Herndon , 0,   25.18 , , , 0, , 2
207,  Geneva , 0,   100 , , , 0, , 2
208,  HOUSTON , 0,   129.9 , , , 0, , 2
209,   Suite 302 , 0,   450 , , , 0, 44512.0130806292, 2
210,  Sunnyvale , 0,   99 , , , 0, , 2
211,  East Windsor , 0,   31 , , , 0, , 2
212,  Fremont , 0,   140 , 1924926, 1800000, 0, 76579, 2
213,  Bedford , 0,   51.36 , , , 0, , 2
214,  Brigantine , 0,   7 , , , 0, 44512.0130806292, 2
215,  Soquel , 0,   500 , 1993612, 1880000, 10, 55230, 2
216,  Soquel , 0,   150 , 1993612, 1880000, 10, , 2
217,  Soquel , 0,   15 , , , 0, , 2
218,  Soquel , 0,   500 , , , 0, , 2
219,  Willits , 0,   121 , , , 0, , 2
220,  Plano , 0,   25.18 , , , 0, , 2
221,   , 0,   150 , , , 0, 44512.0130806292, 2
222,   Apt. #318 , 0,   100 , , , 0, , 2
223,  San Jose , 0,   150 , , , 0, , 2
224,   , 0,    , , , 0, , 2
225,   , 0,    , , , 0, , 2
226,   , 0,    , , , 0, , 2
227,   , 0,    , , , 0, 44512.0130806292, 2
228,   , 0,    , , , 0, , 2
229,   , 0,    , , , 0, 44512.0130806292, 2
